GAME_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_CD,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID,runs_scored_this_inning,deficit
BAL196005110,KC1,9,1,2,0,0,,3,3,robib104,R,robib104,R,kutym101,R,kutym101,R,dalep101,siebn101,lumpj101,willd104,hamlk101,snydr102,tuttb101,baueh101,woodg101,courc101,pilaa101,6/P,F,F,5,3,2,T,T,0,F,F,1,F,F,0,F,F,6,P,F,F,,0,0,N,0,N,0,N,0,1,2,3,6.0,,,,F,F,F,F,F,F,F,F,F,kutym101,kiell101,daleb102,F,F,F,F,F,,,,,0,6,0,0,0,0,0,0,0,78,2,0
BAL196007232,DET,9,1,2,0,0,,3,3,gentj101,L,gentj101,L,labic101,R,labic101,R,berbl101,cashn101,bollf101,yoste101,fernc102,maxwc101,chrin101,colar101,woodg101,stepg101,branj101,W.3-H(UR);2-3;1-2,F,F,3,4,14,T,F,0,F,F,0,F,F,1,F,F,0,,F,F,,0,0,N,0,N,0,N,1,2,3,5,,,,,F,F,F,F,F,F,F,F,F,regap101,regap101,regap101,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,76,0,0
BOS196005060,DET,9,1,2,0,0,,2,1,runnp101,L,runnp101,L,bunnj101,R,bunnj101,R,wilsr102,cashn101,bollf101,yoste101,fernc102,chrin101,kalia101,colar101,keoum101,clinl101,stepg101,E6/G.3-H(UR)(NR);2-3;1-2,F,F,4,2,18,T,T,0,F,F,0,F,F,0,F,F,6,G,F,F,,1,6,F,0,N,0,N,1,2,3,5,,,,,F,F,F,F,F,F,F,F,F,bunnj101,bunnj101,bunnj101,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,75,1,1
BOS196005060,DET,9,1,2,0,0,,2,2,malzf101,R,malzf101,R,bunnj101,R,bunnj101,R,wilsr102,cashn101,bollf101,yoste101,fernc102,chrin101,kalia101,colar101,runnp101,keoum101,clinl101,S8.3-H(UR);2-3;1-2,F,F,5,3,20,T,T,1,F,F,0,F,F,1,F,F,8,,F,F,,0,0,N,0,N,0,N,1,2,3,5,,,,,F,F,F,F,F,F,F,F,F,bunnj101,bunnj101,bunnj101,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,76,2,0
BOS196008010,KC1,9,1,2,0,0,,8,8,tasbw101,R,tasbw101,R,kutym101,R,kutym101,R,dalep101,throm101,lumpj101,willd104,johnb104,siebn101,tuttb101,snydr102,greep102,clinl101,malzf101,5(2)/FO,F,F,8,1,2,T,T,0,F,F,1,F,F,0,F,F,5,G,F,F,,0,0,N,0,N,0,N,1,1,0,3,,,5,,F,F,F,F,F,F,F,F,F,kutym101,kutym101,kutym101,F,F,F,F,F,,,,,0,5,0,0,0,0,0,0,0,91,2,0
CHN196004220,SFN,9,1,2,0,0,,10,8,zimmd101,R,zimmd101,R,antoj103,L,antoj103,L,landh101,mccow101,blasd101,davej101,brese101,cepeo101,maysw101,kirkw101,moryw101,banke101,taylt101,64(1)/FO,F,F,5,7,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,1,0,2,3,,64,,,F,F,F,F,F,F,F,F,F,antoj103,antoj103,antoj103,F,T,F,F,F,,,,,0,4,0,0,6,0,0,0,0,95,0,2
CHN196005020,PHI,9,1,2,0,0,,7,7,zimmd101,R,zimmd101,R,shorc102,L,shorc102,L,cokej101,herrp101,malkb101,darka101,koppj101,callj101,delgb101,waltk101,neemc101,draks102,banke101,S8.3-H;2-3;1-2,F,F,5,8,20,T,T,1,F,F,0,F,F,1,F,F,8,,F,F,,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,shorc102,shorc102,robih101,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,93,2,0
CIN196005270,MLN,9,1,2,0,0,,5,5,baile101,L,baile101,L,mackk101,L,mackk101,L,crand102,adcoj101,schor101,mathe101,logaj101,spana101,brutb101,aaroh101,robif103,bellg103,pinsv101,HR/9D.3-H;2-H;1-H,F,F,2,6,23,T,T,4,F,F,0,F,F,4,F,F,0,,F,F,9D,0,0,N,0,N,0,N,4,4,4,4,,,,,F,F,F,F,F,F,F,F,F,mackk101,mackk101,mackk101,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,82,0,0
CLE196006040,DET,9,1,2,0,0,,4,4,frant101,L,frant101,L,sisld102,R,sisld102,R,wilsr102,bilks101,wisec101,yoste101,fernc102,maxwc101,kalia101,colar101,kuenh101,asprk101,pierj102,7,F,F,3,4,2,T,T,0,F,F,1,F,F,0,F,F,7,F,F,F,,0,0,N,0,N,0,N,0,1,2,3,7.0,,,,F,F,F,F,F,F,F,F,F,sempr101,sempr101,sempr101,F,F,F,F,F,,,,,0,7,0,0,0,0,0,0,0,83,0,0
CLE196009240,CHA,9,1,2,0,0,,5,3,asprk101,R,asprk101,R,stalg103,R,stalg103,R,lolls101,klust101,fox-n101,martj107,aparl101,minom101,landj103,rivej101,morgj101,lockb101,philb102,S7.3-H;2-H;1-2,F,F,4,1,20,T,T,1,F,F,0,F,F,2,F,F,7,,F,F,,0,0,N,0,N,0,N,1,2,4,4,,,,,F,F,F,F,F,F,F,F,F,lownt101,baumf102,baumf102,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,73,0,2
