GAME_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_CD,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID,runs_scored_this_inning,deficit
ANA200006040,LAN,9,1,2,3,0,BBBB,7,7,palmo001,L,palmo001,L,osuna002,R,osuna002,R,kreuc001,karre001,grudm001,elstk001,vizcj001,gilbs001,santf001,grees001,glaut001,salmt001,stock001,W.3-H;2-3;1-2,F,F,9,7,14,T,F,0,F,F,0,F,F,1,F,F,0,,F,F,,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,osuna002,osuna002,osuna002,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,85,0,0
ARI200004080,PIT,9,1,2,1,1,BFX,5,5,gilkb001,R,gilkb001,R,chrij002,L,chrij002,L,kendj001,younk001,morrw001,sojol001,mearp001,cordw001,hermc001,gileb002,colbg001,bellj001,friah001,S9/L4D.3-H;2-3;1-2,F,F,9,6,20,T,T,1,F,F,0,F,F,1,F,F,9,L,F,F,4D,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,chrij002,chrij002,chrij002,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,86,0,0
ARI200006190,SDN,9,1,2,3,1,BBBCB,2,2,finls001,L,finls001,L,kolbb001,R,kolbb001,R,hernc001,sprae001,boonb002,nevip001,gomec001,jackd003,river002,owene001,willm003,gonzl001,bautd001,W.3-H;2-3;1-2,F,F,8,5,14,T,F,0,F,F,0,F,F,1,F,F,0,,F,F,,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,kolbb001,kolbb001,kolbb001,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,79,0,0
ATL200005060,PHI,9,1,2,0,2,CSS,6,0,galaa001,R,galaa001,R,schic002,R,schic002,R,liebm001,brogr001,moram001,roles001,relad001,gantr001,gland001,abreb001,lockk001,lopej001,bonib001,K,F,T,11,1,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,3,2.0,,,,F,F,F,F,F,F,F,F,F,schic002,schic002,schic002,F,T,F,F,F,,,,burkj001,1,2,0,0,0,0,0,0,0,82,0,6
ATL200005070,PHI,9,1,2,1,0,BX,7,4,lopej001,R,lopej001,R,gomew001,R,gomew001,R,liebm001,huntb001,jordk001,roles001,relad001,sefck001,gland001,abreb001,galaa001,jonea002,lockk001,64(1)/FO/G6+,F,F,2,6,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,6,0,0,N,0,N,0,N,1,0,2,3,,64,,,F,F,F,F,F,F,F,F,F,gomew001,gomew001,aldrs001,F,T,F,F,F,,,,,0,4,0,0,6,0,0,0,0,87,1,3
ATL200006250,MIL,9,1,2,3,1,BBCBB,4,4,jonec004,L,jonec004,L,leskc001,R,leskc001,R,casar001,hayec001,bellr002,hernj001,lopel002,jenkg001,grism001,burnj001,jonea002,veraq001,weisw001,W.3-H;2-3;1-2,F,F,5,3,14,T,F,0,F,F,0,F,F,1,F,F,0,,F,F,,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,leskc001,leskc001,leskc001,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,78,0,0
BOS200006180,TOR,9,1,2,0,0,X,5,0,hatts001,L,hatts001,L,kochb001,R,kochb001,R,casta001,delgc001,grebc001,batit001,gonza001,stews002,cruzj004,mondr002,lewid001,varij001,garcn001,S8/L6MD.3-H;2-3;1-2,F,T,11,9,20,T,T,1,F,F,0,F,F,1,F,F,8,L,F,F,6MD,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,quanp001,quanp001,quanp001,F,F,F,F,F,,,,alexm001,5,0,0,0,0,0,0,0,0,79,0,5
BOS200006180,TOR,9,1,2,0,1,FX,5,1,offej001,L,offej001,L,kochb001,R,kochb001,R,casta001,delgc001,grebc001,batit001,gonza001,stews002,cruzj004,mondr002,sadld001,lewid001,varij001,46(1)/FO/G4M,F,F,3,1,2,T,T,0,F,F,1,F,F,0,F,F,4,G,F,F,4M,0,0,N,0,N,0,N,1,0,2,3,,46,,,F,F,F,F,F,F,F,F,F,kochb001,quanp001,quanp001,F,T,T,F,F,hatts001,,,,0,6,0,0,4,0,0,0,0,80,1,4
BOS200006270,BAL,9,1,2,2,2,FBFBX,1,1,offej001,L,offej001,L,tromm001,R,tromm001,R,johnc002,conij001,deshd001,ripkc001,bordm001,surhb001,andeb001,bellj002,veraw001,hatts001,burkm001,3/G3-,F,F,4,1,2,T,T,0,F,F,1,F,F,0,F,F,3,G,F,F,3,0,0,N,0,N,0,N,0,1,2,3,3.0,,,,F,F,F,F,F,F,F,F,F,mcelc001,timlm001,timlm001,F,F,T,F,F,lewid001,,,,0,3,0,0,0,0,0,0,0,73,0,0
BOS200008140,TBA,9,1,2,2,2,BFCBX,3,3,brogr001,L,brogr001,L,taylb001,R,taylb001,R,flahj001,mcgrf001,cairm001,johnr006,guilo001,tynej001,willg001,guilj001,garcn001,everc001,lewid001,HR/L9D+.3-H;2-H;1-H,F,F,3,5,23,T,T,4,F,F,0,F,F,4,F,F,0,L,F,F,9D,0,0,N,0,N,0,N,4,4,4,4,,,,,F,F,F,F,F,F,F,F,F,taylb001,taylb001,taylb001,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,82,0,0
