pa_count,pitch_count,k_pct,bb_pct,swing_pct,chase_pct,contact_pct,fps_swing_pct,zone_swing_pct,batter_id,season,era
155,548,0.0903225806451612,0.064516129032258,0.5018248175182481,0.300395256916996,0.850909090909091,0.3032258064516129,0.6745762711864407,500743,2015,statcast
397,1567,0.234256926952141,0.0403022670025188,0.4543714103382259,0.2482758620689655,0.7724719101123596,0.2418136020151133,0.6318289786223278,553993,2015,statcast
686,2804,0.2215743440233236,0.1209912536443148,0.4140513552068474,0.1887550200803212,0.8010335917312662,0.2813411078717201,0.6710122699386503,451594,2015,statcast
239,923,0.1841004184100418,0.0920502092050209,0.4366197183098591,0.2651356993736952,0.8287841191066998,0.2928870292887029,0.6216216216216216,477195,2015,statcast
602,2286,0.1611295681063123,0.0548172757475083,0.4943132108486439,0.3266331658291457,0.8292035398230089,0.2819237147595356,0.6782768102658112,456715,2015,statcast
331,1435,0.3534743202416918,0.1570996978851963,0.4,0.235370611183355,0.6114982578397212,0.2416918429003021,0.5900900900900901,593934,2015,statcast
632,2243,0.0996835443037974,0.050632911392405,0.4253232278198841,0.2884940778341793,0.90041928721174,0.0981012658227848,0.5777568331762488,519184,2015,statcast
546,2069,0.2399267399267399,0.0641025641025641,0.5152247462542291,0.360787824529991,0.7157598499061913,0.3473491773308958,0.6971608832807571,444432,2015,statcast
600,2356,0.215,0.0683333333333333,0.4376061120543293,0.2397504456327985,0.7943743937924346,0.17,0.6181965881397238,543760,2015,statcast
248,1016,0.2298387096774193,0.0685483870967741,0.4635826771653543,0.3173758865248227,0.8046709129511678,0.2298387096774193,0.6460176991150443,543768,2015,statcast
236,935,0.1822033898305084,0.0762711864406779,0.4791443850267379,0.2777777777777778,0.8504464285714286,0.25,0.6533864541832669,493596,2015,statcast
162,605,0.0925925925925925,0.0925925925925925,0.424793388429752,0.2397260273972602,0.8793774319066148,0.1543209876543209,0.597444089456869,543776,2015,statcast
621,2187,0.0821256038647343,0.074074074074074,0.4718792866941015,0.270923209663503,0.8817829457364341,0.3188405797101449,0.6991236611489776,457763,2015,statcast
