pa_count,pitch_count,ff_pct,si_pct,fc_pct,sl_pct,ch_pct,cu_pct,hard_pct,offspeed_pct,fps_rate,zone_rate,chase_rate_induced,pitcher_id,season,era
244,1013,0.6711491442542787,0.0122249388753056,0.3166259168704156,0.0,0.0,0.0,1.0,0.0,0.5983606557377049,0.4975320829220138,0.2671905697445972,451584,2015,statcast
256,981,0.5208970438328236,0.0316004077471967,0.0,0.3751274209989806,0.001019367991845,0.0713557594291539,0.5524974515800204,0.0723751274209989,0.6744186046511628,0.5219164118246687,0.3091684434968017,502272,2015,statcast
141,528,0.1692913385826771,0.4350393700787401,0.0,0.2480314960629921,0.0236220472440944,0.124015748031496,0.6043307086614174,0.1476377952755905,0.624113475177305,0.4545454545454545,0.2951388888888889,543746,2015,statcast
79,329,0.5623100303951368,0.0,0.0,0.3161094224924012,0.0455927051671732,0.0759878419452887,0.5623100303951368,0.121580547112462,0.5569620253164557,0.4772036474164133,0.2848837209302325,519169,2015,statcast
253,856,0.5151869158878505,0.0245327102803738,0.0,0.0,0.3551401869158878,0.1051401869158878,0.5397196261682243,0.4602803738317756,0.5568627450980392,0.477803738317757,0.2348993288590604,466948,2015,statcast
293,1203,0.5406746031746031,0.0,0.0,0.0,0.4474206349206349,0.0119047619047619,0.5406746031746031,0.4593253968253968,0.5563139931740614,0.4737718567860116,0.3069620253164557,461325,2015,statcast
61,230,0.7841726618705036,0.0,0.0,0.0,0.2158273381294964,0.0,0.7841726618705036,0.2158273381294964,0.6065573770491803,0.4478260869565217,0.3385826771653543,519186,2015,statcast
263,1036,0.0,0.0,0.9939098660170524,0.0,0.0060901339829476,0.0,0.9939098660170524,0.0060901339829476,0.6121673003802282,0.5376447876447876,0.2379958246346555,543766,2015,statcast
248,874,0.34375,0.25,0.0902777777777777,0.0023148148148148,0.0011574074074074,0.3125,0.6840277777777778,0.3136574074074074,0.6612903225806451,0.5578465063001146,0.3264248704663212,488984,2015,statcast
272,1112,0.1191335740072202,0.0,0.6759927797833934,0.0,0.0090252707581227,0.1958483754512635,0.7951263537906137,0.2048736462093862,0.5992647058823529,0.4685251798561151,0.272419627749577,501789,2015,statcast
239,971,0.0,0.4197916666666667,0.0,0.36875,0.2114583333333333,0.0,0.4197916666666667,0.2114583333333333,0.5564853556485355,0.3913491246138002,0.3333333333333333,434718,2015,statcast
