pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2021-04-17,95.1,2.1,5.64,"McGee, Jake",594807,459429,,foul,,,,,4,Foul,R,R,L,MIA,SF,S,,,1,2,2021,0.83,1.55,-0.663532664153106,2.5801761681147313,595751,516782,542583,2,9,Bot,,,,,,,-9.07971332643628,-138.14936073016,-5.820961193602317,12.643334089900552,30.970582125241258,-11.2363728997425,3.411,1.565,216,73.9,27,94.8,2245,6.2,634450,592200,474832,456781,446334,543063,596103,643289,573262,54.27,,,,,,,,84,6,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,131,0.0,0.0,,,,0.0,88.0,0,0,0.624,0.624,34,32,35,33,1,5,3,1,3,1,0.98,0.83,-0.83,35.9,,,,,
SL,2021-04-17,80.4,2.03,5.69,"McGee, Jake",594807,459429,,foul,,,,,5,Foul,R,R,L,MIA,SF,S,,,1,2,2021,-0.36,0.06,-0.0843919926786691,2.3035468311206984,595751,516782,542583,2,9,Bot,,,,,,,-3.979275991103782,-117.1314168271895,-0.9947313543609336,-2.6564313742490535,20.84874630771232,-31.67181146320459,3.411,1.565,304,98.6,49,80.1,2080,5.9,634450,592200,474832,456781,446334,543063,596103,643289,573262,54.6,,,,,,,,84,5,Slider,5,5,5,5,5,5,5,5,Infield shade,Standard,279,0.0,0.0,,,,0.0,98.6,0,0,0.624,0.624,34,32,35,33,1,5,3,1,3,1,3.44,-0.36,0.36,35.8,,,,,
FF,2021-04-17,95.2,2.16,5.56,"McGee, Jake",594807,459429,,foul,,,,,6,Foul,R,R,L,MIA,SF,S,,,1,2,2021,0.99,1.27,0.7158554688804953,2.7225310591984107,595751,516782,542583,2,9,Bot,,,,,,,-6.056718770234917,-138.49789840249952,-4.704167068494967,14.09442436755429,30.38144287425686,-14.962594388820788,3.411,1.565,198,82.3,68,96.1,2194,6.8,634450,592200,474832,456781,446334,543063,596103,643289,573262,53.73,,,,,,,,84,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,133,0.0,0.0,,,,0.0,88.0,0,0,0.624,0.624,34,32,35,33,1,5,3,1,3,1,1.24,0.99,-0.99,31.8,,,,,
FF,2021-04-17,95.0,2.03,5.61,"McGee, Jake",594807,459429,,foul,,,,,7,Foul,R,R,L,MIA,SF,S,,,1,1,2021,1.08,1.32,-0.5360413519805296,1.7708573031368489,595751,516782,542583,2,9,Bot,,,,,,,-9.137798489397344,-137.92011100723917,-7.305830891543803,15.849783290151166,32.02153548368821,-13.857672317242248,3.411,1.565,,,,94.8,2333,6.4,634450,592200,474832,456781,446334,543063,596103,643289,573262,54.1,,,,,,,,84,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,129,-0.033,-0.07,,,,0.07,,0,0,0.657,0.657,34,32,35,33,1,5,3,1,3,1,1.23,1.08,-1.08,33.7,,,,,
FF,2021-04-17,94.8,2.01,5.67,"McGee, Jake",594807,459429,,ball,,,,,13,Ball,R,R,L,MIA,SF,B,,,0,1,2021,0.97,1.45,-0.8723898227649021,2.347172008045929,595751,516782,542583,2,9,Bot,,,,,,,-9.688802651690416,-137.62235883887874,-6.2161204192412285,14.53032447185696,31.92267706665669,-12.457605092466356,3.41,1.56,,,,94.6,2327,6.4,634450,592200,474832,456781,446334,543063,596103,643289,573262,54.1,,,,,,,,84,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,135,0.017,0.022,,,,-0.022,,0,0,0.64,0.64,34,32,35,33,1,5,3,1,3,1,1.1,0.97,-0.97,35.5,,,,,
FF,2021-04-17,94.4,2.26,5.6,"McGee, Jake",594807,459429,,called_strike,,,,,9,Called Strike,R,R,L,MIA,SF,S,,,0,0,2021,0.95,1.3,0.6737729580990236,1.8100415173292277,595751,516782,542583,2,9,Bot,,,,,,,-6.214609200244771,-137.21776980658015,-7.015055477732585,13.364818352406104,32.48550350556058,-14.40005769950685,3.70845083632431,1.73192840013659,,,,94.0,2251,6.3,634450,592200,474832,456781,446334,543063,596103,643289,573262,54.22,,,,,,,,84,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,136,-0.025,-0.046,,,,0.046,,0,0,0.665,0.665,34,32,35,33,1,5,3,1,3,1,1.28,0.95,-0.95,,,,,,
SL,2021-04-16,82.7,1.84,6.46,"Smith, Will",592626,519293,strikeout,swinging_strike,,,,,13,Joc Pederson strikes out swinging.,R,L,L,CHC,ATL,S,2,,2,2,2021,-0.64,0.05,-0.6705802708641335,1.3147132018694672,664023,519203,592178,2,9,Bot,,,,,,,-4.470070438784201,-120.38693599121191,-5.433464388355899,-5.5796890564964094,20.20225677061726,-30.92942992155475,3.411,1.565,,,,83.2,2346,6.3,634548,518595,518692,501303,467055,621020,542303,628338,660670,54.2,,0.0,0.0,1,0,0,,85,6,Slider,2,5,2,5,5,2,2,5,Standard,Standard,317,-0.093,-0.21,,,,0.21,,-3,-3,0.093,0.093,31,29,32,29,1,4,2,2,5,1,3.24,-0.64,-0.64,,,,,,
FF,2021-04-16,93.9,1.41,6.64,"Smith, Will",592626,519293,,foul,,,,,4,Foul,R,L,L,CHC,ATL,S,,,2,2,2021,0.7,1.55,-0.5384894063736583,2.4818526552296865,664023,519203,592178,2,9,Bot,,,,,,,-6.599052362662348,-136.37162078119857,-8.464872834782602,10.137486260706815,29.48679828266163,-11.133589719506428,3.411,1.565,215,74.5,44,94.0,2251,6.4,634548,518595,518692,501303,467055,621020,542303,628338,660670,54.08,,,,,,,,85,5,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,155,0.0,0.0,,,,0.0,88.0,-3,-3,0.093,0.093,31,29,32,29,1,4,2,2,5,1,1.04,0.7,0.7,,,,,,
FF,2021-04-16,93.4,1.6,6.61,"Smith, Will",592626,519293,,swinging_strike,,,,,5,Swinging Strike,R,L,L,CHC,ATL,S,,,2,1,2021,0.24,1.65,-0.2301669935684971,2.7343842884805625,664023,519203,592178,2,9,Bot,,,,,,,-5.261371806738468,-135.81677544764435,-7.896640942193879,4.115586599435108,29.5115028107365,-10.15723639077928,3.411,1.565,,,,93.8,2278,6.5,634548,518595,518692,501303,467055,621020,542303,628338,660670,53.96,,,,,,,,85,4,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,154,-0.014,-0.075,,,,0.075,,-3,-3,0.107,0.107,31,29,32,29,1,4,2,2,5,1,0.96,0.24,0.24,,,,,,
FF,2021-04-16,93.8,1.4,6.6,"Smith, Will",592626,519293,,swinging_strike,,,,,8,Swinging Strike,R,L,L,CHC,ATL,S,,,2,0,2021,0.41,1.52,-0.2396993712709579,1.795033658537883,664023,519203,592178,2,9,Bot,,,,,,,-5.168003312726359,-136.3038918072047,-10.058216830651386,6.276256546377493,29.531031715643845,-11.246443390322735,3.411,1.565,,,,94.0,2256,6.5,634548,518595,518692,501303,467055,621020,542303,628338,660670,54.04,,,,,,,,85,3,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,156,-0.016,-0.098,,,,0.098,,-3,-3,0.123,0.123,31,29,32,29,1,4,2,2,5,1,1.08,0.41,0.41,,,,,,
SL,2021-04-16,81.8,1.87,6.53,"Smith, Will",592626,519293,,ball,,,,,13,Ball,R,L,L,CHC,ATL,B,,,1,0,2021,-0.59,-0.18,-0.7423321126810605,1.0788545963286031,664023,519203,592178,2,9,Bot,,,,,,,-4.759910599465229,-119.04210823852516,-5.435505658847644,-4.802251683758463,20.810764502540085,-33.14437929741602,3.27663143094972,1.53621548315142,,,,82.2,2386,6.3,634548,518595,518692,501303,467055,621020,542303,628338,660670,54.15,,,,,,,,85,2,Slider,2,5,2,5,5,2,2,5,Standard,Standard,324,0.016,0.081,,,,-0.081,,-3,-3,0.107,0.107,31,29,32,29,1,4,2,2,5,1,3.56,-0.59,-0.59,,,,,,
SL,2021-04-16,82.8,1.77,6.46,"Smith, Will",592626,519293,,ball,,,,,13,Ball,R,L,L,CHC,ATL,B,,,0,0,2021,-0.58,0.54,-0.5163811089415529,0.962639771298321,664023,519203,592178,2,9,Bot,,,,,,,-4.091933641126206,-120.40098161644922,-7.129305878070555,-4.955583541162235,22.092501421036992,-25.81448124175513,3.29753053704268,1.639412648655,,,,83.1,2367,6.4,634548,518595,518692,501303,467055,621020,542303,628338,660670,54.11,,,,,,,,85,1,Slider,2,5,2,5,5,2,2,5,Standard,Standard,319,0.008,0.028,,,,-0.028,,-3,-3,0.099,0.099,31,29,32,29,1,4,2,2,5,1,2.78,-0.58,-0.58,,,,,,
SI,2021-04-14,93.9,-2.82,5.73,"Garcia, Bryan",663656,650530,strikeout,called_strike,,,,,9,Kyle Tucker called out on strikes.,R,L,R,HOU,DET,S,2,,0,2,2021,-0.87,1.21,0.3568886094827163,1.8096094809382173,596117,664702,493329,2,9,Bot,,,,,,,10.051393845083052,-136.369396680332,-7.053052786419704,-13.0346558731986,28.230103194566414,-15.71206609279055,3.38169012687899,1.63646564250369,,,,93.2,2094,5.8,634521,467092,570731,605612,600869,592348,543257,592444,668731,54.67,,0.0,0.0,1,0,0,,82,4,Sinker,4,6,4,6,6,4,4,6,Standard,Standard,221,-0.144,-0.147,,,,0.147,,-2,-2,0.144,0.144,26,24,26,24,1,4,1,1,7,2,1.38,0.87,-0.87,40.4,,,,,
