pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2020-08-22,77.2,-2.09,6.5,"Workman, Brandon",594807,519443,single,hit_into_play,,,,,2,Adam Duvall singles on a line drive to center fielder Roman Quinn.   Dansby Swanson scores.    Freddie Freeman to 3rd.    Adeiny Hechavarria to 2nd.,R,R,R,ATL,PHI,X,8,line_drive,2,1,2020,0.54,-1.26,-0.0231985647886195,2.884255938143519,621020,518692,588751,2,9,Bot,99.71,76.0,,,,,3.473034469454789,-112.3738135117345,1.6117395766129656,3.977017545072484,20.5774806912051,-43.3446447307534,3.4,1.61,181,89.1,16,78.6,2680,7.3,630338,592663,656555,435522,516416,544369,656514,596451,547180,53.24,0.927,0.898,0.9,1,1,0,4,80,4,Knuckle Curve,5,5,5,5,5,6,6,5,Infield shift,Standard,19,0.301,0.515,,,1.13,-0.515,89.1,0,0,0.699,0.699,31,31,32,32,1,4,3,1,1,1,5.08,-0.54,-0.54,61.7,,,,,
KC,2020-08-22,77.9,-1.9,6.5,"Workman, Brandon",594807,519443,,ball,,,,,12,Ball,R,R,R,ATL,PHI,B,,,1,1,2020,0.57,-1.06,0.0820203406236891,3.889914213551021,621020,518692,588751,2,9,Bot,,,,,,,3.2584664301599178,-113.41688606199224,3.31074728141453,4.310210224690235,20.617472427593107,-42.17349814841301,3.15675942683599,1.61000000000314,,,,79.2,2472,7.2,630338,592663,656555,435522,516416,544369,656514,596451,547180,53.32,,,,,,,,80,3,Knuckle Curve,5,5,5,5,5,5,5,5,Infield shift,Standard,24,0.042,0.054,,,,-0.054,,0,0,0.657,0.657,31,31,32,32,1,4,3,1,1,1,4.81,-0.57,-0.57,61.5,,,,,
KC,2020-08-22,78.3,-1.91,6.45,"Workman, Brandon",594807,519443,,foul,,,,,14,Foul,R,R,R,ATL,PHI,S,,,1,0,2020,0.66,-1.52,0.3555057628706994,1.2256244559876102,621020,518692,588751,2,9,Bot,,,,,,,3.748195134303687,-113.9205154913758,-1.5311376564551784,4.889842927753219,23.7311888554183,-45.166226407336865,3.4,1.61,6,79.5,-15,79.3,2714,7.3,630338,592663,656555,435522,516416,544369,656514,596451,547180,53.21,,,,,,,,80,2,Knuckle Curve,5,5,5,5,5,5,5,5,Infield shift,Standard,19,-0.042,-0.054,,,,0.054,88.0,0,0,0.699,0.699,31,31,32,32,1,4,3,1,1,1,5.28,-0.66,-0.66,62.7,,,,,
FF,2020-08-22,92.3,-1.75,6.53,"Workman, Brandon",594807,519443,,ball,,,,,11,Ball,R,R,R,ATL,PHI,B,,,0,0,2020,-0.21,1.48,-0.5916514536646369,3.4805710638284495,621020,518692,588751,2,9,Bot,,,,,,,3.4740095044758608,-134.3772375146548,-5.292649897328845,-3.254953383018089,28.03721213573909,-13.310262987547612,3.28813740476659,1.60999999998732,,,,94.5,2126,7.5,630338,592663,656555,435522,516416,544369,656514,596451,547180,53.03,,,,,,,,80,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shift,Standard,191,0.034,0.041,,,,-0.041,,0,0,0.665,0.665,31,31,32,32,1,4,3,1,1,1,1.19,0.21,0.21,62.7,,,,,
CU,2020-08-19,79.9,-1.17,6.1,"Sneed, Cy",663898,605482,single,hit_into_play,,,,,7,Brendan Rodgers singles on a ground ball to left fielder Kyle Tucker.   Raimel Tapia scores.    Chris Owings scores.    Ryan McMahon to 2nd.,R,R,R,COL,HOU,X,7,ground_ball,0,2,2020,0.4,-0.78,-0.4068809281137788,2.080449941621977,606132,572008,641857,2,9,Bot,103.48,159.48,,,,,0.9269562820310214,-116.54859041559192,-0.8242961423536594,3.5242863954315684,17.786152152918692,-39.45358048466698,3.371,1.535,38,97.9,-1,80.6,2447,6.2,631522,455117,647351,514888,608686,621043,663656,664702,502210,54.27,0.36,0.33,0.9,1,1,0,2,82,3,Curveball,4,13,4,13,13,6,6,13,Standard,Standard,19,0.0,0.631,,,0.391,-0.631,97.9,-9,-9,0.001,0.001,27,23,28,24,1,1,5,,2,1,4.28,-0.4,-0.4,57.5,,,,,
SL,2020-08-19,83.8,-1.25,6.13,"Sneed, Cy",663898,605482,,foul,,,,,14,Foul,R,R,R,COL,HOU,S,,,0,1,2020,0.75,0.47,0.9935548978220422,2.238432471553041,606132,572008,641857,2,9,Bot,,,,,,,3.724419470258901,-122.02928553748902,-3.5465219719876577,6.768833488858455,23.235287770950375,-27.007735856647376,3.371,1.535,14,54.6,-8,84.0,2224,6.3,631522,455117,647351,514888,608686,621043,663656,664702,502210,54.17,,,,,,,,82,2,Slider,4,13,4,13,13,4,4,13,Standard,Standard,83,0.0,-0.037,,,,0.037,88.0,-9,-9,0.001,0.001,27,23,28,24,1,1,5,,2,1,2.76,-0.75,-0.75,56.8,,,,,
SL,2020-08-19,82.1,-1.41,6.03,"Sneed, Cy",663898,605482,,foul,,,,,14,Foul,R,R,R,COL,HOU,S,,,0,0,2020,1.01,0.2,1.3044828387178362,2.1930138040533707,606132,572008,641857,2,9,Bot,,,,,,,4.221915876881318,-119.58558782733364,-2.5896315150103337,8.94103617166667,21.49420768413028,-30.02257016207609,3.371,1.535,,,,82.8,2240,6.6,631522,455117,647351,514888,608686,621043,663656,664702,502210,53.94,,,,,,,,82,1,Slider,4,13,4,13,13,4,4,13,Standard,Standard,68,0.0,-0.039,,,,0.039,,-9,-9,0.001,0.001,27,23,28,24,1,1,5,,2,1,3.16,-1.01,-1.01,56.3,,,,,
CU,2020-08-17,81.2,-1.8,6.14,"Kilome, Franklyn",542340,642584,field_out,hit_into_play,,,,,7,Jonathan Villar flies out to right fielder Brandon Nimmo.,R,L,R,MIA,NYM,X,9,fly_ball,3,2,2020,0.08,-0.81,-0.2898189649778258,2.080119605383108,543432,657193,542932,2,9,Bot,171.87,123.93,,,,,3.2280606887447902,-118.1843368715912,-0.8771556588459217,0.1294124079464218,24.01465814776691,-39.738742906833515,3.41,1.67,235,77.2,47,81.1,2136,6.4,631325,467092,624413,665926,605204,642708,642086,571740,607043,54.11,0.067,0.072,0.0,1,0,0,3,96,6,Curveball,4,11,4,11,11,4,4,11,Standard,Standard,37,-0.002,-0.305,,,0.094,0.305,88.0,-7,-7,0.002,0.002,25,29,25,29,2,5,16,1,15,1,4.28,-0.08,0.08,37.9,,,,,
CH,2020-08-17,84.1,-1.85,6.12,"Kilome, Franklyn",542340,642584,,ball,,,,,13,Ball,R,L,R,MIA,NYM,B,,,2,2,2020,-0.69,0.35,-1.924712303087984,1.405192800679993,543432,657193,542932,2,9,Bot,,,,,,,1.1969364298485,-122.3707511664274,-5.262655706749436,-7.127724246042146,24.616843469467423,-27.783042781781266,3.32029053541383,1.5855960740975,,,,84.6,1284,6.7,631325,467092,624413,665926,605204,642708,642086,571740,607043,53.81,,,,,,,,96,5,Changeup,4,11,4,11,11,4,4,11,Standard,Standard,221,0.0,0.079,,,,-0.079,,-7,-7,0.002,0.002,25,29,25,29,2,5,16,1,15,1,2.87,0.69,-0.69,36.3,,,,,
CU,2020-08-17,81.8,-1.8,6.22,"Kilome, Franklyn",542340,642584,,ball,,,,,11,Ball,R,L,R,MIA,NYM,B,,,1,2,2020,0.07,-0.8,-1.1561273000621477,3.5267553589230904,543432,657193,542932,2,9,Bot,,,,,,,1.312504609442029,-119.05585967635932,2.060025684848541,0.4442366860450041,23.91309262480842,-40.378538522924075,3.41462110386301,1.65559040311693,,,,81.6,2192,6.2,631325,467092,624413,665926,605204,642708,642086,571740,607043,54.27,,,,,,,,96,4,Curveball,4,11,4,11,11,4,4,11,Standard,Standard,41,0.0,0.047,,,,-0.047,,-7,-7,0.002,0.002,25,29,25,29,2,5,16,1,15,1,4.22,-0.07,0.07,38.8,,,,,
SI,2020-08-17,94.1,-1.88,6.05,"Kilome, Franklyn",542340,642584,,swinging_strike,,,,,11,Swinging Strike,R,L,R,MIA,NYM,S,,,1,1,2020,-0.74,1.14,-0.5181333483793251,3.9281798026661017,543432,657193,542932,2,9,Bot,,,,,,,5.208923854680056,-137.0876292966907,-2.3897504727594017,-10.496687935561672,29.07810171000797,-17.39760666029539,3.41,1.67,,,,94.9,2197,6.6,631325,467092,624413,665926,605204,642708,642086,571740,607043,53.91,,,,,,,,96,3,Sinker,4,11,4,11,11,4,4,11,Standard,Standard,208,0.0,-0.061,,,,0.061,,-7,-7,0.002,0.002,25,29,25,29,2,5,16,1,15,1,1.42,0.74,-0.74,35.8,,,,,
CH,2020-08-17,86.2,-1.87,6.0,"Kilome, Franklyn",542340,642584,,swinging_strike,,,,,13,Swinging Strike,R,L,R,MIA,NYM,S,,,1,0,2020,-0.57,0.46,-0.2384784347109358,0.9970506945924053,543432,657193,542932,2,9,Bot,,,,,,,5.086053420537022,-125.33563632242584,-6.673053168044156,-6.989477020406662,23.899655513069337,-26.200724385478363,3.41,1.67,,,,87.3,1473,6.9,631325,467092,624413,665926,605204,642708,642086,571740,607043,53.6,,,,,,,,96,2,Changeup,4,11,4,11,11,4,4,11,Standard,Standard,220,0.0,-0.054,,,,0.054,,-7,-7,0.002,0.002,25,29,25,29,2,5,16,1,15,1,2.6,0.57,-0.57,36.5,,,,,
CU,2020-08-17,81.3,-1.92,6.16,"Kilome, Franklyn",542340,642584,,ball,,,,,11,Ball,R,L,R,MIA,NYM,B,,,0,0,2020,-0.15,-0.73,-1.526215291345111,2.884410281240274,543432,657193,542932,2,9,Bot,,,,,,,1.163333199250462,-118.36962778990572,0.6574076645176428,-1.6077988069168614,22.708334355386288,-39.40931272511451,3.39103099309585,1.65559040311693,,,,81.2,2132,6.2,631325,467092,624413,665926,605204,642708,642086,571740,607043,54.28,,,,,,,,96,1,Curveball,4,11,4,11,11,4,4,11,Standard,Standard,35,0.0,0.041,,,,-0.041,,-7,-7,0.002,0.002,25,29,25,29,2,5,16,1,15,1,4.18,0.15,-0.15,38.8,,,,,
FC,2020-08-16,81.0,-1.66,5.56,"Mengden, Daniel",456781,596043,field_out,hit_into_play,,,,,9,"Donovan Solano grounds out, shortstop Franklin Barreto to first baseman Matt Olson.",R,R,R,SF,ATH,X,6,ground_ball,3,2,2020,0.59,-0.18,0.3008418260823096,1.3433780487172853,543063,643289,543105,2,9,Bot,100.94,140.81,,,,,3.2645030745022705,-118.03683972094458,-2.5651364315905845,5.045741936392493,19.568333076173698,-33.5860401859823,3.04,1.46,4,87.5,-18,81.7,2312,6.4,631024,669221,621566,640461,605353,620439,543257,592192,572039,54.13,0.087,0.074,0.0,1,0,0,2,87,6,Cutter,3,15,3,15,15,3,3,15,Standard,Standard,101,-0.001,-0.301,,,0.087,0.301,88.0,-12,-12,0.001,0.001,27,32,27,33,1,4,5,1,2,1,3.6,-0.59,-0.59,,,,,,
