pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-04-19,93.8,-2.38,5.57,"Payamps, Joel",502671,606303,field_out,hit_into_play,,,,,8,"Paul Goldschmidt grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,R,STL,MIL,X,6,ground_ball,3,2,2024,-1.03,1.15,0.1473337859939794,1.7508313147413732,672279,671056,680977,2,9,Bot,115.39,152.93,,,,,8.820610304990224,-136.21930206876343,-6.670008394035418,-14.747198844893887,29.96398707527158,-16.575214265655646,3.52,1.66,9,82.2,-10,94.0,2423,6.5,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.0,0.095,0.091,0.0,1,0,0,2,73,7,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,221,-0.215,-0.371,72.0,7.7,0.113,0.371,88.0,0,0,0.715,0.715,30,36,30,37,1,4,2,2,2,1,1.45,1.03,1.03,30.1,9.271926628559552,10.319830796255635,35.969977729874735,41.29117888824111,18.751296533951496
SL,2024-04-19,82.6,-2.66,5.54,"Payamps, Joel",502671,606303,,ball,,,,,1,Ball,R,R,R,STL,MIL,B,,,2,2,2024,1.09,-0.04,-0.7083063445271386,3.3401205567549184,672279,671056,680977,2,9,Bot,,,,,,,2.311910772504982,-120.34400733716151,1.5743222338987166,10.126800587878666,23.89131665495158,-33.085122488127766,3.30882709021541,1.52022129636585,,,,82.6,2575,6.3,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.22,,,,,,,,73,6,Slider,1,1,1,1,1,1,1,1,Standard,Standard,52,0.066,0.103,,,,-0.103,,0,0,0.649,0.649,30,36,30,37,1,4,2,2,2,1,3.38,-1.09,-1.09,30.8,,,,,
SI,2024-04-19,94.3,-2.2,5.64,"Payamps, Joel",502671,606303,,foul,,,,,8,Foul,R,R,R,STL,MIL,S,,,2,2,2024,-1.15,0.94,0.1516531846830742,2.1874488460714634,672279,671056,680977,2,9,Bot,,,,,,,8.672517306408492,-137.11217174633288,-5.416019638331406,-16.3165631998481,27.436983593748355,-19.341668573755193,3.52,1.66,,,,94.7,2390,6.4,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.14,,,,,,,,73,5,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,214,0.0,0.0,75.4,7.8,,0.0,,0,0,0.649,0.649,30,36,30,37,1,4,2,2,2,1,1.61,1.15,1.15,32.8,16.49968552562594,-2.338984846375305,30.33356284034946,42.55062674593981,21.60544158399906
SL,2024-04-19,84.5,-2.54,5.55,"Payamps, Joel",502671,606303,,ball,,,,,14,Ball,R,R,R,STL,MIL,B,,,1,2,2024,1.21,0.03,1.0514832005248382,1.3672810280181895,672279,671056,680977,2,9,Bot,,,,,,,5.943474903768149,-122.99534696125389,-3.4017080906389654,11.04233397152783,25.68828839839543,-31.417424759531077,3.46311747433532,1.60044577856423,,,,84.3,2511,6.3,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.23,,,,,,,,73,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,47,0.025,0.052,,,,-0.052,,0,0,0.624,0.624,30,36,30,37,1,4,2,2,2,1,3.18,-1.21,-1.21,30.6,,,,,
SI,2024-04-19,94.6,-2.49,5.64,"Payamps, Joel",502671,606303,,ball,,,,,13,Ball,R,R,R,STL,MIL,B,,,0,2,2024,-1.46,0.74,-1.456899091749151,0.945177186446442,672279,671056,680977,2,9,Bot,,,,,,,5.9539769679348025,-137.49249450511854,-8.246759641058249,-19.806982095468005,29.496599007315268,-21.128361999848945,3.51555011013173,1.61928840436092,,,,94.9,2249,6.4,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.06,,,,,,,,73,3,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,213,0.017,0.023,,,,-0.023,,0,0,0.607,0.607,30,36,30,37,1,4,2,2,2,1,1.8,1.46,1.46,31.2,,,,,
FF,2024-04-19,93.8,-2.23,5.75,"Payamps, Joel",502671,606303,,foul,,,,,12,Foul,R,R,R,STL,MIL,S,,,0,1,2024,-0.62,1.43,0.8448461986929684,3.165488095619817,672279,671056,680977,2,9,Bot,,,,,,,9.30464471559346,-136.2728470552408,-4.085504726396757,-9.866257487018336,31.18185169770546,-13.594613347402223,3.52,1.66,130,80.2,18,93.4,2310,6.3,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.25,,,,,,,,73,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,214,-0.033,-0.042,69.1,7.4,,0.042,88.0,0,0,0.64,0.64,30,36,30,37,1,4,2,2,2,1,1.17,0.62,0.62,36.1,7.785928233240036,17.16701875084572,24.93964956778406,52.21454616309617,8.051310250049937
SI,2024-04-19,93.9,-2.23,5.7,"Payamps, Joel",502671,606303,,called_strike,,,,,4,Called Strike,R,R,R,STL,MIL,S,,,0,0,2024,-1.13,1.05,-0.4451706944057525,2.312449256630841,672279,671056,680977,2,9,Bot,,,,,,,7.123855785186534,-136.37977803557126,-5.313195826477257,-15.684102391444222,32.2780811479342,-18.079239212801166,3.47098061909405,1.57412501768218,,,,93.6,2192,6.4,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.1,,,,,,,,73,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,214,-0.025,-0.044,,,,0.044,,0,0,0.665,0.665,30,36,30,37,1,4,2,2,2,1,1.56,1.13,1.13,32.2,,,,,
SI,2024-04-19,93.7,-2.45,5.5,"Payamps, Joel",680977,606303,walk,ball,,,,,13,Brendan Donovan walks. Masyn Winn scores. Michael Siani to 3rd. Iván Herrera to 2nd.,R,L,R,STL,MIL,B,,,3,1,2024,-1.62,0.66,-1.3834542154341145,1.7287045373095538,691026,672279,671056,2,9,Bot,,,,,,,6.345321858596704,-136.13300717859607,-5.3979639401111825,-21.58301556693587,32.951292480625696,-22.9767672378928,3.26887261091905,1.44045391681008,,,,93.3,2268,6.3,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.15,,0.689131,0.7,1,0,0,,72,5,Sinker,0,1,0,1,1,1,1,1,Strategic,Standard,219,0.23,0.182,,,,-0.182,,-1,-1,0.435,0.435,30,27,30,27,1,4,2,2,2,1,1.97,1.62,-1.62,28.9,,,,,
FF,2024-04-19,93.5,-2.53,5.53,"Payamps, Joel",680977,606303,,called_strike,,,,,4,Called Strike,R,L,R,STL,MIL,S,,,3,0,2024,-0.83,1.46,-0.6814753843502701,2.6602133034803543,691026,672279,671056,2,9,Bot,,,,,,,6.599777930599104,-135.92381462998122,-4.840545527644495,-11.84149574554472,31.69682272401321,-13.201139835293684,3.22838833460529,1.63122791031204,,,,93.3,2481,6.4,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.12,,,,,,,,72,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,217,-0.077,-0.065,,,,0.065,,-1,-1,0.512,0.512,30,27,30,27,1,4,2,2,2,1,1.16,0.83,-0.83,31.1,,,,,
FF,2024-04-19,93.4,-2.56,5.65,"Payamps, Joel",680977,606303,,ball,,,,,11,Ball,R,L,R,STL,MIL,B,,,2,0,2024,-0.76,1.55,-1.2096709048433598,3.8890314232142695,691026,672279,671056,2,9,Bot,,,,,,,5.156908880359988,-135.9208451644431,-2.15952353933737,-10.54449151624346,31.42858797876212,-12.77344377128238,3.25789864515475,1.56129797698785,,,,93.2,2497,6.3,745189,661388,656555,668930,687401,642715,686894,663368,694192,54.21,,,,,,,,72,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,215,0.115,0.108,,,,-0.108,,-1,-1,0.397,0.397,30,27,30,27,1,4,2,2,2,1,1.08,0.76,-0.76,30.4,,,,,
