pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
,2023-04-29,,,,"Morgan, Eli",665839,669212,field_out,hit_into_play,,,,,,Enmanuel Valdez flies out to right fielder Will Brennan.,R,L,R,BOS,CLE,X,9,fly_ball,1,2,2023,,,,,646240,680776,606132,2,9,Bot,197.46,111.22,,,,,,,,,,,,,,,,,,,718385,572287,647304,665926,608070,642708,680757,664702,686823,,,,0.0,,0,0,,84,5,,6,6,6,6,6,6,6,6,,,,-0.124,-0.174,,,,0.174,,0,0,0.624,0.624,27,24,27,25,1,4,3,1,3,1,,,,,,,,,
,2023-04-29,,,,"Morgan, Eli",665839,669212,,foul,,,,,,Foul,R,L,R,BOS,CLE,S,,,1,2,2023,,,,,646240,680776,606132,2,9,Bot,,,,,,,,,,,,,,,,,,,,,718385,572287,647304,665926,608070,642708,680757,664702,686823,,,,,,,,,84,4,,6,6,6,6,6,6,6,6,,,,0.0,0.0,,,,0.0,,0,0,0.624,0.624,27,24,27,25,1,4,3,1,3,1,,,,,,,,,
,2023-04-29,,,,"Morgan, Eli",665839,669212,,ball,,,,,,Ball,R,L,R,BOS,CLE,B,,,0,2,2023,,,,,646240,680776,606132,2,9,Bot,,,,,,,,,,,,,,,,,,,,,718385,572287,647304,665926,608070,642708,680757,664702,686823,,,,,,,,,84,3,,6,6,6,6,6,6,6,6,,,,0.017,0.011,,,,-0.011,,0,0,0.607,0.607,27,24,27,25,1,4,3,1,3,1,,,,,,,,,
,2023-04-29,,,,"Morgan, Eli",665839,669212,,foul,,,,,,Foul,R,L,R,BOS,CLE,S,,,0,1,2023,,,,,646240,680776,606132,2,9,Bot,,,,,,,,,,,,,,,,,,,,,718385,572287,647304,665926,608070,642708,680757,664702,686823,,,,,,,,,84,2,,6,6,6,6,6,6,6,6,,,,-0.033,-0.057,,,,0.057,,0,0,0.64,0.64,27,24,27,25,1,4,3,1,3,1,,,,,,,,,
,2023-04-29,,,,"Morgan, Eli",665839,669212,,foul,,,,,,Foul,R,L,R,BOS,CLE,S,,,0,0,2023,,,,,646240,680776,606132,2,9,Bot,,,,,,,,,,,,,,,,,,,,,718385,572287,647304,665926,608070,642708,680757,664702,686823,,,,,,,,,84,1,,6,6,6,6,6,6,6,6,,,,-0.025,-0.047,,,,0.047,,0,0,0.665,0.665,27,24,27,25,1,4,3,1,3,1,,,,,,,,,
SI,2023-04-27,98.9,-0.08,6.84,"Bautista, Félix",668670,642585,strikeout,swinging_strike,,,,,11,Jake Rogers strikes out swinging.,R,R,R,DET,BAL,S,2,,1,2,2023,-0.54,1.77,-0.1448425006192512,3.827865458668707,663527,606992,663837,2,9,Bot,,,,,,,1.0993892966171834,-143.94111913325017,-6.918898982247803,-7.75894070126688,35.30990441386983,-6.184515081906476,3.28,1.51,,,,99.0,2429,6.5,718405,668939,663624,687401,602104,622761,663630,656775,624428,54.03,,0.0,0.0,1,0,0,,85,4,Sinker,4,7,4,7,7,4,4,7,Standard,Standard,188,-0.083,-0.17,,,,0.17,,-3,-3,0.083,0.083,28,28,28,28,1,1,1,1,2,2,0.57,0.54,0.54,67.7,,,,,
SI,2023-04-27,96.3,-0.11,6.71,"Bautista, Félix",668670,642585,,foul,,,,,1,Foul,R,R,R,DET,BAL,S,,,1,1,2023,-0.75,1.65,-0.3614983379275915,2.839300827069046,663527,606992,663837,2,9,Bot,,,,,,,1.0243310011615183,-139.9471619610457,-8.420086634349708,-10.013432437283535,33.507726695373776,-8.79164634525616,3.28,1.51,210,72.5,26,96.3,2263,6.5,718405,668939,663624,687401,602104,622761,663630,656775,624428,53.98,,,,,,,,85,3,Sinker,4,7,4,7,7,4,4,7,Standard,Standard,191,-0.013,-0.079,,,,0.079,88.0,-3,-3,0.096,0.096,28,28,28,28,1,1,1,1,2,2,0.83,0.75,0.75,65.2,,,,,
SL,2023-04-27,85.9,-0.77,6.67,"Bautista, Félix",668670,642585,,called_strike,,,,,3,Called Strike,R,R,R,DET,BAL,S,,,1,0,2023,0.51,-0.09,0.4957152846824393,2.801799480530584,663527,606992,663837,2,9,Bot,,,,,,,1.9724346203833805,-125.19468248574876,-2.781905387548726,4.998273709468072,24.73949691616447,-32.755295812113346,3.28,1.51,,,,86.5,2424,6.5,718405,668939,663624,687401,602104,622761,663630,656775,624428,53.98,,,,,,,,85,2,Slider,4,7,4,7,7,4,4,7,Standard,Standard,97,-0.011,-0.048,,,,0.048,,-3,-3,0.107,0.107,28,28,28,28,1,1,1,1,2,2,3.16,-0.51,-0.51,59.8,,,,,
SI,2023-04-27,97.0,-0.25,6.79,"Bautista, Félix",668670,642585,,ball,,,,,11,Ball,R,R,R,DET,BAL,B,,,0,0,2023,-0.79,1.75,-1.2853669506533651,4.221771354282305,663527,606992,663837,2,9,Bot,,,,,,,-0.964454569051434,-141.21312676052247,-5.3308705887384775,-10.228418394646418,34.84647702997562,-7.832111563943029,3.28,1.51,,,,97.5,2329,6.8,718405,668939,663624,687401,602104,622761,663630,656775,624428,53.75,,,,,,,,85,1,Sinker,4,7,4,7,7,4,4,7,Standard,Standard,192,0.008,0.035,,,,-0.035,,-3,-3,0.099,0.099,28,28,28,28,1,1,1,1,2,2,0.69,0.79,0.79,66.2,,,,,
FF,2023-04-19,97.0,-0.44,6.86,"Fairbanks, Pete",571912,664126,strikeout,swinging_strike,,,,,11,Luke Maile strikes out swinging.,R,R,R,CIN,TB,S,2,,0,2,2023,0.26,1.41,-0.0040995704488748,4.018898081795434,663886,656413,676480,2,9,Bot,,,,,,,0.5941286530674641,-141.22083247968382,-5.287889735103485,3.26551971539215,34.088684802447865,-12.303010019347914,3.17,1.47,,,,97.1,2434,6.5,718515,542194,650490,664040,670623,670764,670042,622534,666139,54.03,,0.0,0.0,1,0,0,,78,3,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,192,-0.001,-0.158,,,,0.158,,-8,-8,0.001,0.001,29,32,30,32,1,3,7,3,3,4,1.02,-0.26,-0.26,51.5,,,,,
