tier,mean_gap,se,ci_lo,ci_hi,n_pitches,n_pa_approx
high,-0.06381317918215078,0.004588945235175162,-0.0728075118430941,-0.05481884652120746,280,117
medium,-0.057898732297259246,0.002094938156016459,-0.0620048110830515,-0.05379265351146699,1352,477
