tier,mean_gap,se,ci_lo,ci_hi,n_pitches,n_pa_approx
high,-0.06381317918215078,0.004588945235175162,-0.0728075118430941,-0.05481884652120746,280,117
medium,-0.05789873229725926,0.0020949381560164595,-0.06200481108305152,-0.053792653511467,1352,477
