pitcher_id,season,sit_pitches,sit_pa,baseline_pa,sit_ff_pct,base_ff_pct,dev_ff_pct,sit_si_pct,base_si_pct,dev_si_pct,sit_fc_pct,base_fc_pct,dev_fc_pct,sit_sl_pct,base_sl_pct,dev_sl_pct,sit_ch_pct,base_ch_pct,dev_ch_pct,sit_cu_pct,base_cu_pct,dev_cu_pct,sit_hard_pct,base_hard_pct,dev_hard_pct,sit_offspeed_pct,base_offspeed_pct,dev_offspeed_pct,sit_fps_rate,base_fps_rate,dev_fps_rate,sit_zone_rate,base_zone_rate,dev_zone_rate,sit_chase_rate_induced,base_chase_rate_induced,dev_chase_rate_induced,era
430630,2015,7,1,122.0,0.5714285714285714,0.6196911196911197,-0.0482625482625482,0.0,0.0019305019305019,-0.0019305019305019,0.0,0.0,0.0,0.2857142857142857,0.1949806949806949,0.0907335907335907,0.1428571428571428,0.1833976833976834,-0.0405405405405405,0.0,0.0,0.0,0.5714285714285714,0.6216216216216216,-0.0501930501930502,0.1428571428571428,0.1833976833976834,-0.0405405405405405,1.0,0.6475409836065574,0.3524590163934425,0.7142857142857143,0.4792452830188679,0.2350404312668463,0.0,0.2391304347826087,-0.2391304347826087,statcast
434718,2015,4,1,239.0,0.0,0.0,0.0,0.25,0.4197916666666667,-0.1697916666666666,0.0,0.0,0.0,0.0,0.36875,-0.36875,0.75,0.2114583333333333,0.5385416666666667,0.0,0.0,0.0,0.25,0.4197916666666667,-0.1697916666666666,0.75,0.2114583333333333,0.5385416666666667,1.0,0.5564853556485355,0.4435146443514645,0.25,0.3913491246138002,-0.1413491246138002,0.3333333333333333,0.3333333333333333,0.0,statcast
446099,2015,1,1,234.0,0.0,0.6778797145769623,-0.6778797145769623,0.0,0.0020387359836901,-0.0020387359836901,0.0,0.0,0.0,1.0,0.1416921508664627,0.8583078491335372,0.0,0.0,0.0,0.0,0.1783893985728848,-0.1783893985728848,0.0,0.6799184505606524,-0.6799184505606524,0.0,0.1783893985728848,-0.1783893985728848,1.0,0.5170940170940171,0.4829059829059828,1.0,0.4804020100502512,0.5195979899497487,,0.2050290135396518,,statcast
448178,2015,1,1,278.0,1.0,0.642413487133984,0.3575865128660159,0.0,0.0239574090505767,-0.0239574090505767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002661934338953,-0.1002661934338953,0.0,0.2333629103815439,-0.2333629103815439,1.0,0.6663708961845608,0.3336291038154392,0.0,0.3336291038154392,-0.3336291038154392,1.0,0.5683453237410072,0.4316546762589928,1.0,0.4668435013262599,0.53315649867374,,0.2835820895522388,,statcast
451584,2015,4,1,244.0,0.3333333333333333,0.6711491442542787,-0.3378158109209454,0.0,0.0122249388753056,-0.0122249388753056,0.6666666666666666,0.3166259168704156,0.350040749796251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5983606557377049,0.4016393442622951,0.75,0.4975320829220138,0.2524679170779861,1.0,0.2671905697445972,0.7328094302554027,statcast
452666,2015,2,1,261.0,1.0,0.439143135345667,0.560856864654333,0.0,0.11587147030185,-0.11587147030185,0.0,0.0,0.0,0.0,0.2551119766309639,-0.2551119766309639,0.0,0.0827653359298929,-0.0827653359298929,0.0,0.107108081791626,-0.107108081791626,1.0,0.555014605647517,0.4449853943524829,0.0,0.189873417721519,-0.189873417721519,0.0,0.5343511450381679,-0.5343511450381679,0.5,0.4614643545279383,0.0385356454720616,0.0,0.2737030411449016,-0.2737030411449016,statcast
453172,2015,4,1,280.0,0.0,0.0341880341880341,-0.0341880341880341,1.0,0.7799145299145299,0.22008547008547,0.0,0.0,0.0,0.0,0.1485042735042735,-0.1485042735042735,0.0,0.0373931623931623,-0.0373931623931623,0.0,0.0,0.0,1.0,0.8141025641025641,0.1858974358974359,0.0,0.0373931623931623,-0.0373931623931623,0.0,0.6071428571428571,-0.6071428571428571,0.75,0.4220572640509014,0.3279427359490986,0.0,0.4036697247706422,-0.4036697247706422,statcast
453192,2015,18,4,220.0,0.6111111111111112,0.4471153846153846,0.1639957264957265,0.0,0.0144230769230769,-0.0144230769230769,0.0,0.0,0.0,0.3888888888888889,0.5384615384615384,-0.1495726495726495,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.4615384615384615,0.1495726495726496,0.0,0.0,0.0,0.5,0.6818181818181818,-0.1818181818181817,0.4444444444444444,0.5180288461538461,-0.0735844017094017,0.4,0.3541147132169576,0.0458852867830424,statcast
461325,2015,8,2,293.0,0.375,0.5406746031746031,-0.1656746031746031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.4474206349206349,0.177579365079365,0.0,0.0119047619047619,-0.0119047619047619,0.375,0.5406746031746031,-0.1656746031746031,0.625,0.4593253968253968,0.1656746031746031,1.0,0.5563139931740614,0.4436860068259386,0.625,0.4737718567860116,0.1512281432139883,0.0,0.3069620253164557,-0.3069620253164557,statcast
491703,2015,5,1,207.0,0.2,0.5791457286432161,-0.3791457286432161,0.4,0.0778894472361809,0.3221105527638191,0.0,0.0,0.0,0.4,0.2663316582914573,0.1336683417085427,0.0,0.0741206030150753,-0.0741206030150753,0.0,0.0025125628140703,-0.0025125628140703,0.6000000000000001,0.6570351758793971,-0.0570351758793969,0.0,0.0766331658291457,-0.0766331658291457,1.0,0.5797101449275363,0.4202898550724637,0.6,0.5086633663366337,0.0913366336633663,0.0,0.2745591939546599,-0.2745591939546599,statcast
493157,2015,5,1,147.0,0.0,0.8565400843881856,-0.8565400843881856,1.0,0.1181434599156118,0.8818565400843882,0.0,0.0,0.0,0.0,0.0253164556962025,-0.0253164556962025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9746835443037974,0.0253164556962025,0.0,0.0,0.0,1.0,0.7278911564625851,0.2721088435374149,0.4,0.4425385934819897,-0.0425385934819896,0.6666666666666666,0.3846153846153846,0.282051282051282,statcast
