batter_id,season,sit_pa,baseline_pa,sit_k_pct,base_k_pct,dev_k_pct,sit_bb_pct,base_bb_pct,dev_bb_pct,sit_ibb_pct,base_ibb_pct,dev_ibb_pct,sit_contact_pct,base_contact_pct,dev_contact_pct,sit_fps_strike_pct,base_fps_strike_pct,dev_fps_strike_pct,sit_swing_pct,base_swing_pct,dev_swing_pct,era
gantr001,1990,1,630,0.0,0.1365079365079365,-0.1365079365079365,0.0,0.0793650793650793,-0.0793650793650793,0.0,0.0,0.0,0.0,0.2761904761904762,-0.2761904761904762,0.0,0.356997971602434,-0.356997971602434,1.0,0.4648283624085537,0.5351716375914463,expansion
justd001,1990,1,503,0.0,0.1829025844930417,-0.1829025844930417,0.0,0.1192842942345924,-0.1192842942345924,0.0,0.0079522862823061,-0.0079522862823061,0.0,0.246520874751491,-0.246520874751491,0.0,0.3692307692307692,-0.3692307692307692,0.6666666666666666,0.4668383773341918,0.1998282893324747,expansion
orsuj001,1990,1,464,0.0,0.1034482758620689,-0.1034482758620689,0.0,0.0797413793103448,-0.0797413793103448,0.0,0.0193965517241379,-0.0193965517241379,0.0,0.2392241379310344,-0.2392241379310344,1.0,0.3799126637554585,0.6200873362445415,0.5,0.4773139745916515,0.0226860254083484,expansion
bradp001,1990,1,494,0.0,0.1234817813765182,-0.1234817813765182,0.0,0.0910931174089068,-0.0910931174089068,0.0,0.0101214574898785,-0.0101214574898785,0.0,0.2186234817813765,-0.2186234817813765,0.0,0.3862660944206008,-0.3862660944206008,0.25,0.473832301631964,-0.223832301631964,expansion
kittr001,1990,1,368,0.0,0.2472826086956521,-0.2472826086956521,0.0,0.0652173913043478,-0.0652173913043478,0.0,0.0054347826086956,-0.0054347826086956,0.0,0.2119565217391304,-0.2119565217391304,0.0,0.3915492957746478,-0.3915492957746478,0.5,0.5271614384085692,-0.0271614384085692,expansion
penat001,1990,1,539,1.0,0.1298701298701298,0.8701298701298701,0.0,0.0742115027829313,-0.0742115027829313,0.0,0.0055658627087198,-0.0055658627087198,0.0,0.2393320964749536,-0.2393320964749536,1.0,0.3597678916827853,0.6402321083172147,0.6,0.4984193888303477,0.1015806111696522,expansion
quinc001,1990,1,571,1.0,0.12784588441331,0.87215411558669,0.0,0.0910683012259194,-0.0910683012259194,0.0,0.0,0.0,0.0,0.2574430823117338,-0.2574430823117338,1.0,0.3833333333333333,0.6166666666666667,0.5,0.4391395592864638,0.0608604407135361,expansion
ray-j001,1990,1,428,0.0,0.102803738317757,-0.102803738317757,0.0,0.0397196261682243,-0.0397196261682243,0.0,0.0046728971962616,-0.0046728971962616,0.0,0.2616822429906542,-0.2616822429906542,0.0,0.3805970149253731,-0.3805970149253731,1.0,0.491120218579235,0.5088797814207651,expansion
saboc001,1990,1,635,0.0,0.0913385826771653,-0.0913385826771653,0.0,0.0850393700787401,-0.0850393700787401,0.0,0.011023622047244,-0.011023622047244,1.0,0.2393700787401574,0.7606299212598425,0.0,0.4,-0.4,0.5,0.476936856247201,0.0230631437527989,expansion
winnh001,1990,1,176,1.0,0.1704545454545454,0.8295454545454546,0.0,0.0738636363636363,-0.0738636363636363,0.0,0.0056818181818181,-0.0056818181818181,0.0,0.2329545454545454,-0.2329545454545454,1.0,0.3714285714285714,0.6285714285714286,0.5,0.4925373134328358,0.0074626865671642,expansion
