batter_id,season,sit_pa,baseline_pa,sit_k_pct,base_k_pct,dev_k_pct,sit_bb_pct,base_bb_pct,dev_bb_pct,sit_ibb_pct,base_ibb_pct,dev_ibb_pct,sit_contact_pct,base_contact_pct,dev_contact_pct,sit_fps_strike_pct,base_fps_strike_pct,dev_fps_strike_pct,sit_swing_pct,base_swing_pct,dev_swing_pct,era
palmo001,2000,1,295,0.0,0.0677966101694915,-0.0677966101694915,1.0,0.1254237288135593,0.8745762711864407,0.0,0.0,0.0,0.0,0.247457627118644,-0.247457627118644,0.0,0.4915254237288136,-0.4915254237288136,0.0,0.3795036028823058,-0.3795036028823058,offense_explosion
gilkb001,2000,1,184,0.0,0.1521739130434782,-0.1521739130434782,0.0,0.0815217391304347,-0.0815217391304347,0.0,0.0108695652173913,-0.0108695652173913,1.0,0.1521739130434782,0.8478260869565217,0.0,0.4510869565217391,-0.4510869565217391,0.6666666666666666,0.4275256222547584,0.2391410444119082,offense_explosion
finls001,2000,1,622,0.0,0.1398713826366559,-0.1398713826366559,1.0,0.0916398713826366,0.9083601286173634,0.0,0.0112540192926045,-0.0112540192926045,0.0,0.2427652733118971,-0.2427652733118971,0.0,0.3987138263665595,-0.3987138263665595,0.0,0.4397379912663755,-0.4397379912663755,offense_explosion
galaa001,2000,1,547,1.0,0.2285191956124314,0.7714808043875685,0.0,0.056672760511883,-0.056672760511883,0.0,0.0091407678244972,-0.0091407678244972,0.0,0.2723948811700182,-0.2723948811700182,1.0,0.4478976234003656,0.5521023765996343,0.6666666666666666,0.5241976566479878,0.1424690100186788,offense_explosion
lopej001,2000,1,524,0.0,0.1526717557251908,-0.1526717557251908,0.0,0.0610687022900763,-0.0610687022900763,0.0,0.0057251908396946,-0.0057251908396946,0.0,0.2633587786259542,-0.2633587786259542,0.0,0.4255725190839695,-0.4255725190839695,0.5,0.5148729042725798,-0.0148729042725798,offense_explosion
jonec004,2000,1,685,0.0,0.0934306569343065,-0.0934306569343065,1.0,0.1226277372262773,0.8773722627737226,0.0,0.0145985401459854,-0.0145985401459854,0.0,0.2627737226277372,-0.2627737226277372,0.0,0.3284671532846715,-0.3284671532846715,0.0,0.4343141317861583,-0.4343141317861583,offense_explosion
hatts001,2000,1,270,0.0,0.1444444444444444,-0.1444444444444444,0.0,0.1296296296296296,-0.1296296296296296,0.0,0.0111111111111111,-0.0111111111111111,1.0,0.2222222222222222,0.7777777777777778,0.0,0.3962962962962963,-0.3962962962962963,1.0,0.3451864700780572,0.6548135299219427,offense_explosion
offej001,2000,2,525,0.0,0.1333333333333333,-0.1333333333333333,0.0,0.1333333333333333,-0.1333333333333333,0.0,0.0,0.0,0.0,0.219047619047619,-0.219047619047619,1.0,0.4380952380952381,0.5619047619047619,0.7142857142857143,0.3652173913043478,0.3490683229813665,offense_explosion
brogr001,2000,2,197,0.0,0.2081218274111675,-0.2081218274111675,0.0,0.0456852791878172,-0.0456852791878172,0.0,0.0050761421319796,-0.0050761421319796,0.5,0.2131979695431472,0.2868020304568528,0.5,0.5228426395939086,-0.0228426395939086,0.5555555555555556,0.4993464052287582,0.0562091503267974,offense_explosion
everc001,2000,1,559,0.0,0.2003577817531306,-0.2003577817531306,0.0,0.0840787119856887,-0.0840787119856887,0.0,0.0089445438282647,-0.0089445438282647,0.0,0.2665474060822898,-0.2665474060822898,0.0,0.4919499105545617,-0.4919499105545617,0.0,0.4789838337182448,-0.4789838337182448,offense_explosion
lansm001,2000,1,547,0.0,0.1371115173674588,-0.1371115173674588,0.0,0.0658135283363802,-0.0658135283363802,0.0,0.0036563071297989,-0.0036563071297989,1.0,0.2193784277879341,0.7806215722120659,1.0,0.449725776965265,0.5502742230347349,0.3333333333333333,0.4367588932806324,-0.103425559947299,offense_explosion
thomf001,2000,1,706,0.0,0.1331444759206798,-0.1331444759206798,1.0,0.131728045325779,0.868271954674221,0.0,0.0254957507082152,-0.0254957507082152,0.0,0.2705382436260623,-0.2705382436260623,0.0,0.4178470254957507,-0.4178470254957507,0.5833333333333334,0.3675903191862504,0.2157430141470829,offense_explosion
ordom001,2000,2,663,0.5,0.0950226244343891,0.4049773755656108,0.0,0.085972850678733,-0.085972850678733,0.0,0.004524886877828,-0.004524886877828,0.0,0.2790346907993967,-0.2790346907993967,1.0,0.4147812971342383,0.5852187028657616,0.6470588235294118,0.463128038897893,0.1839307846315187,offense_explosion
gracm001,2000,1,619,0.0,0.0436187399030694,-0.0436187399030694,0.0,0.135702746365105,-0.135702746365105,0.0,0.0177705977382875,-0.0177705977382875,0.0,0.2310177705977383,-0.2310177705977383,1.0,0.3618739903069466,0.6381260096930533,0.4,0.3710832587287377,0.0289167412712623,offense_explosion
sosas001,2000,1,704,1.0,0.2372159090909091,0.7627840909090909,0.0,0.1022727272727272,-0.1022727272727272,0.0,0.0269886363636363,-0.0269886363636363,0.0,0.2741477272727273,-0.2741477272727273,0.0,0.4161931818181818,-0.4161931818181818,0.4285714285714285,0.4480298913043478,-0.0194584627329192,offense_explosion
rodrh001,2000,1,408,1.0,0.2377450980392156,0.7622549019607843,0.0,0.0833333333333333,-0.0833333333333333,0.0,0.0049019607843137,-0.0049019607843137,0.0,0.230392156862745,-0.230392156862745,0.0,0.4068627450980392,-0.4068627450980392,0.25,0.5135818066961465,-0.2635818066961465,offense_explosion
tuckm001,2000,1,322,0.0,0.1987577639751552,-0.1987577639751552,0.0,0.1335403726708074,-0.1335403726708074,0.0,0.0031055900621118,-0.0031055900621118,0.0,0.2236024844720497,-0.2236024844720497,1.0,0.4316770186335403,0.5683229813664596,0.3333333333333333,0.447067783701447,-0.1137344503681137,offense_explosion
frymt001,2000,1,657,0.0,0.1689497716894977,-0.1689497716894977,0.0,0.1080669710806697,-0.1080669710806697,0.0,0.0030441400304414,-0.0030441400304414,0.0,0.2800608828006088,-0.2800608828006088,1.0,0.4642313546423135,0.5357686453576864,0.3333333333333333,0.4206225680933852,-0.0872892347600519,offense_explosion
alomr001,2000,1,696,0.0,0.1178160919540229,-0.1178160919540229,1.0,0.0847701149425287,0.9152298850574712,0.0,0.0057471264367816,-0.0057471264367816,0.0,0.271551724137931,-0.271551724137931,0.0,0.4454022988505747,-0.4454022988505747,0.1666666666666666,0.4366749910809847,-0.270008324414318,offense_explosion
hammj001,2000,2,509,0.0,0.1630648330058939,-0.1630648330058939,0.0,0.0785854616895874,-0.0785854616895874,0.0,0.0078585461689587,-0.0078585461689587,0.0,0.2986247544204322,-0.2986247544204322,0.5,0.3909626719056974,0.1090373280943025,0.8,0.4944567627494456,0.3055432372505544,offense_explosion
goodt001,2000,1,605,1.0,0.1917355371900826,0.8082644628099174,0.0,0.109090909090909,-0.109090909090909,0.0,0.0033057851239669,-0.0033057851239669,0.0,0.2297520661157024,-0.2297520661157024,0.0,0.4314049586776859,-0.4314049586776859,0.75,0.3722998729351969,0.377700127064803,offense_explosion
walkt002,2000,1,282,0.0,0.1028368794326241,-0.1028368794326241,1.0,0.0921985815602836,0.9078014184397164,0.0,0.0,0.0,0.0,0.2553191489361702,-0.2553191489361702,1.0,0.4148936170212766,0.5851063829787234,0.0,0.4369287020109689,-0.4369287020109689,offense_explosion
shumt001,2000,1,299,0.0,0.1337792642140468,-0.1337792642140468,0.0,0.0903010033444816,-0.0903010033444816,0.0,0.0033444816053511,-0.0033444816053511,1.0,0.2240802675585284,0.7759197324414716,1.0,0.3879598662207358,0.6120401337792643,0.6666666666666666,0.4345454545454545,0.232121212121212,offense_explosion
heltt001,2000,1,696,0.0,0.0876436781609195,-0.0876436781609195,0.0,0.1163793103448275,-0.1163793103448275,0.0,0.0316091954022988,-0.0316091954022988,1.0,0.3089080459770115,0.6910919540229885,0.0,0.382183908045977,-0.382183908045977,0.7142857142857143,0.4108892921960073,0.303396422089707,offense_explosion
gonzj002,2000,1,495,0.0,0.1696969696969697,-0.1696969696969697,0.0,0.0585858585858585,-0.0585858585858585,0.0,0.006060606060606,-0.006060606060606,0.0,0.2686868686868687,-0.2686868686868687,1.0,0.4080808080808081,0.591919191919192,1.0,0.4926136363636363,0.5073863636363636,offense_explosion
palmd002,2000,1,603,0.0,0.24212271973466,-0.24212271973466,0.0,0.1061359867330016,-0.1061359867330016,0.0,0.0033167495854063,-0.0033167495854063,0.0,0.2222222222222222,-0.2222222222222222,1.0,0.4742951907131011,0.5257048092868988,1.0,0.4562657695542472,0.5437342304457528,offense_explosion
lugoj001,2000,1,465,0.0,0.2021505376344086,-0.2021505376344086,0.0,0.0795698924731182,-0.0795698924731182,0.0,0.0,0.0,0.0,0.2559139784946236,-0.2559139784946236,1.0,0.4602150537634408,0.5397849462365591,0.75,0.4520703346568349,0.297929665343165,offense_explosion
sweem002,2000,3,714,0.0,0.0938375350140056,-0.0938375350140056,0.0,0.0924369747899159,-0.0924369747899159,0.0,0.0070028011204481,-0.0070028011204481,0.3333333333333333,0.2871148459383753,0.0462184873949579,0.3333333333333333,0.4201680672268907,-0.0868347338935574,0.5555555555555556,0.4534661049406358,0.1020894506149198,offense_explosion
poses001,2000,1,53,0.0,0.2452830188679245,-0.2452830188679245,1.0,0.0943396226415094,0.9056603773584906,0.0,0.0,0.0,0.0,0.1698113207547169,-0.1698113207547169,1.0,0.3396226415094339,0.6603773584905661,0.375,0.48,-0.1049999999999999,offense_explosion
lopel002,2000,1,224,1.0,0.1517857142857142,0.8482142857142857,0.0,0.0357142857142857,-0.0357142857142857,0.0,0.0044642857142857,-0.0044642857142857,0.0,0.2366071428571428,-0.2366071428571428,1.0,0.4151785714285714,0.5848214285714286,0.75,0.5157318741450069,0.2342681258549931,offense_explosion
burnj001,2000,3,683,0.6666666666666666,0.1742313323572474,0.4924353343094192,0.0,0.130307467057101,-0.130307467057101,0.0,0.0146412884333821,-0.0146412884333821,0.3333333333333333,0.1903367496339678,0.1429965836993655,0.6666666666666666,0.3850658857979502,0.2816007808687164,0.6,0.4151482672382994,0.1848517327617005,offense_explosion
jenkg001,2000,1,563,1.0,0.2380106571936056,0.7619893428063943,0.0,0.0479573712255772,-0.0479573712255772,0.0,0.0106571936056838,-0.0106571936056838,0.0,0.2753108348134991,-0.2753108348134991,1.0,0.4476021314387211,0.5523978685612789,0.0,0.5617647058823529,-0.5617647058823529,offense_explosion
houst001,2000,1,304,0.0,0.2368421052631578,-0.2368421052631578,0.0,0.0460526315789473,-0.0460526315789473,0.0,0.0098684210526315,-0.0098684210526315,0.0,0.2335526315789473,-0.2335526315789473,0.0,0.4078947368421052,-0.4078947368421052,0.5,0.4762348555452004,0.0237651444547996,offense_explosion
hayec001,2000,1,434,0.0,0.1935483870967742,-0.1935483870967742,0.0,0.1221198156682027,-0.1221198156682027,0.0,0.0092165898617511,-0.0092165898617511,0.0,0.2142857142857142,-0.2142857142857142,1.0,0.4147465437788018,0.5852534562211982,0.5,0.432198499711483,0.067801500288517,offense_explosion
bellr002,2000,1,666,0.0,0.1261261261261261,-0.1261261261261261,0.0,0.1171171171171171,-0.1171171171171171,0.0,0.006006006006006,-0.006006006006006,0.0,0.2252252252252252,-0.2252252252252252,1.0,0.4354354354354354,0.5645645645645645,0.6,0.3993771895679253,0.2006228104320747,offense_explosion
canij001,2000,1,370,0.0,0.154054054054054,-0.154054054054054,0.0,0.0648648648648648,-0.0648648648648648,0.0,0.0,0.0,1.0,0.2486486486486486,0.7513513513513513,0.0,0.427027027027027,-0.427027027027027,0.5,0.4251851851851851,0.0748148148148148,offense_explosion
lawtm002,2000,1,663,0.0,0.0950226244343891,-0.0950226244343891,0.0,0.1251885369532428,-0.1251885369532428,0.0,0.0120663650075414,-0.0120663650075414,0.0,0.2579185520361991,-0.2579185520361991,1.0,0.3846153846153846,0.6153846153846154,0.5714285714285714,0.4086151368760064,0.1628134345525649,offense_explosion
martt002,2000,1,631,0.0,0.1172741679873217,-0.1172741679873217,0.0,0.0681458003169572,-0.0681458003169572,0.0,0.0142630744849445,-0.0142630744849445,0.0,0.2329635499207607,-0.2329635499207607,1.0,0.4437400950871632,0.5562599049128367,1.0,0.4193954659949622,0.5806045340050379,offense_explosion
vizcj001,2000,1,296,0.0,0.1452702702702702,-0.1452702702702702,0.0,0.0641891891891891,-0.0641891891891891,0.0,0.0101351351351351,-0.0101351351351351,1.0,0.2229729729729729,0.777027027027027,1.0,0.4628378378378378,0.5371621621621622,1.0,0.487758945386064,0.512241054613936,offense_explosion
bross001,2000,1,518,0.0,0.1409266409266409,-0.1409266409266409,0.0,0.0849420849420849,-0.0849420849420849,0.0,0.0019305019305019,-0.0019305019305019,0.0,0.2084942084942085,-0.2084942084942085,0.0,0.4362934362934363,-0.4362934362934363,0.2,0.4549379384781435,-0.2549379384781435,offense_explosion
nunnj001,2000,1,91,0.0,0.2857142857142857,-0.2857142857142857,0.0,0.1868131868131868,-0.1868131868131868,0.0,0.0,0.0,0.0,0.1538461538461538,-0.1538461538461538,1.0,0.4505494505494505,0.5494505494505495,0.3333333333333333,0.4239401496259352,-0.0906068162926018,offense_explosion
saeno001,2000,1,246,0.0,0.1626016260162601,-0.1626016260162601,0.0,0.0934959349593495,-0.0934959349593495,0.0,0.008130081300813,-0.008130081300813,0.0,0.2723577235772357,-0.2723577235772357,0.0,0.4349593495934959,-0.4349593495934959,0.5,0.4431554524361949,0.056844547563805,offense_explosion
tejam001,2000,1,680,0.0,0.15,-0.15,0.0,0.088235294117647,-0.088235294117647,0.0,0.0088235294117647,-0.0088235294117647,0.0,0.2455882352941176,-0.2455882352941176,1.0,0.4529411764705882,0.5470588235294118,0.5,0.4514751552795031,0.0485248447204968,offense_explosion
staim001,2000,1,561,0.0,0.2174688057040998,-0.2174688057040998,0.0,0.1319073083778966,-0.1319073083778966,0.0,0.0071301247771836,-0.0071301247771836,0.0,0.1925133689839572,-0.1925133689839572,1.0,0.4367201426024955,0.5632798573975044,0.5,0.3596377749029754,0.1403622250970245,offense_explosion
longt002,2000,1,630,0.0,0.1222222222222222,-0.1222222222222222,0.0,0.0666666666666666,-0.0666666666666666,0.0,0.0015873015873015,-0.0015873015873015,1.0,0.2650793650793651,0.734920634920635,1.0,0.4777777777777778,0.5222222222222221,0.5,0.4228667507356032,0.0771332492643968,offense_explosion
liebm001,2000,1,437,1.0,0.1189931350114416,0.8810068649885583,0.0,0.0846681922196796,-0.0846681922196796,0.0,0.0068649885583524,-0.0068649885583524,0.0,0.2471395881006865,-0.2471395881006865,0.0,0.425629290617849,-0.425629290617849,0.75,0.4694776589049717,0.2805223410950283,offense_explosion
abreb001,2000,1,679,0.0,0.1708394698085419,-0.1708394698085419,0.0,0.134020618556701,-0.134020618556701,0.0,0.0132547864506627,-0.0132547864506627,1.0,0.2665684830633284,0.7334315169366716,0.0,0.438880706921944,-0.438880706921944,0.3333333333333333,0.3596093477502616,-0.0262760144169282,offense_explosion
jordk001,2000,1,357,0.0,0.1148459383753501,-0.1148459383753501,0.0,0.0476190476190476,-0.0476190476190476,0.0,0.0,0.0,0.0,0.2072829131652661,-0.2072829131652661,0.0,0.4033613445378151,-0.4033613445378151,0.5,0.4768875192604006,0.0231124807395993,offense_explosion
kendj001,2000,1,677,0.0,0.1166912850812407,-0.1166912850812407,0.0,0.1122599704579025,-0.1122599704579025,0.0,0.0044313146233382,-0.0044313146233382,0.0,0.2732644017725258,-0.2732644017725258,0.0,0.4298375184638109,-0.4298375184638109,0.4285714285714285,0.400297619047619,0.0282738095238094,offense_explosion
