batter_id,season,sit_pitches,sit_pa,baseline_pa,sit_k_pct,base_k_pct,dev_k_pct,sit_bb_pct,base_bb_pct,dev_bb_pct,sit_swing_pct,base_swing_pct,dev_swing_pct,sit_chase_pct,base_chase_pct,dev_chase_pct,sit_contact_pct,base_contact_pct,dev_contact_pct,sit_fps_swing_pct,base_fps_swing_pct,dev_fps_swing_pct,sit_zone_swing_pct,base_zone_swing_pct,dev_zone_swing_pct,era
120074,2015,5,1,607.0,0.0,0.1532125205930807,-0.1532125205930807,0.0,0.0988467874794069,-0.0988467874794069,0.4,0.4484725050916497,-0.0484725050916496,0.3333333333333333,0.2670375521557719,0.0662957811775614,0.5,0.782016348773842,-0.2820163487738419,1.0,0.2582236842105263,0.7417763157894737,0.5,0.7061143984220908,-0.2061143984220907,statcast
150029,2015,2,1,376.0,0.0,0.2234042553191489,-0.2234042553191489,0.0,0.101063829787234,-0.101063829787234,0.5,0.3786717752234994,0.1213282247765006,,0.2345191040843214,,1.0,0.7790893760539629,0.2209106239460371,0.0,0.1728723404255319,-0.1728723404255319,0.5,0.5136476426799007,-0.0136476426799007,statcast
405395,2015,2,1,658.0,0.0,0.1094224924012158,-0.1094224924012158,0.0,0.060790273556231,-0.060790273556231,0.5,0.4539657233957752,0.0460342766042247,0.0,0.2941176470588235,-0.2941176470588235,1.0,0.8542581211589113,0.1457418788410887,0.0,0.1820940819423368,-0.1820940819423368,1.0,0.6288573811509591,0.3711426188490409,statcast
429666,2015,6,1,430.0,0.0,0.2023255813953488,-0.2023255813953488,1.0,0.0441860465116279,0.955813953488372,0.1666666666666666,0.3972602739726027,-0.230593607305936,0.2,0.2710059171597633,-0.0710059171597632,1.0,0.8390804597701149,0.160919540229885,0.0,0.0767441860465116,-0.0767441860465116,0.0,0.5148842337375965,-0.5148842337375965,statcast
434658,2015,5,1,371.0,0.0,0.1994609164420485,-0.1994609164420485,1.0,0.0566037735849056,0.9433962264150944,0.0,0.4989090909090909,-0.4989090909090909,0.0,0.2998454404945904,-0.2998454404945904,,0.8236151603498543,,0.0,0.2661290322580645,-0.2661290322580645,0.0,0.6758241758241759,-0.6758241758241759,statcast
435079,2015,5,1,674.0,0.0,0.1186943620178041,-0.1186943620178041,0.0,0.0637982195845697,-0.0637982195845697,0.8,0.4706352377147423,0.3293647622852577,0.6666666666666666,0.2602627257799672,0.4064039408866994,0.5,0.8921901528013583,-0.3921901528013582,1.0,0.2725925925925926,0.7274074074074074,1.0,0.6700389105058365,0.3299610894941635,statcast
435622,2015,2,1,639.0,0.0,0.2910798122065727,-0.2910798122065727,0.0,0.0704225352112676,-0.0704225352112676,1.0,0.498303647158609,0.501696352841391,,0.3303204601479046,,1.0,0.7319148936170212,0.2680851063829788,1.0,0.4178403755868544,0.5821596244131455,1.0,0.677475898334794,0.3225241016652059,statcast
443558,2015,5,1,650.0,0.0,0.2492307692307692,-0.2492307692307692,0.0,0.0769230769230769,-0.0769230769230769,0.6,0.4804597701149425,0.1195402298850574,0.0,0.3087525844245348,-0.3087525844245348,0.6666666666666666,0.7161084529505582,-0.0494417862838916,1.0,0.2852760736196319,0.7147239263803681,1.0,0.6951640759930915,0.3048359240069085,statcast
452252,2015,4,1,572.0,0.0,0.1748251748251748,-0.1748251748251748,1.0,0.0944055944055944,0.9055944055944056,0.0,0.4448888888888889,-0.4448888888888889,0.0,0.3232323232323232,-0.3232323232323232,,0.8071928071928072,,0.0,0.1783216783216783,-0.1783216783216783,,0.6074766355140186,,statcast
453064,2015,5,1,533.0,1.0,0.2101313320825516,0.7898686679174484,0.0,0.0619136960600375,-0.0619136960600375,0.4,0.4478967495219885,-0.0478967495219885,0.3333333333333333,0.2846648301193756,0.0486685032139577,0.5,0.791889007470651,-0.291889007470651,0.0,0.273921200750469,-0.273921200750469,0.5,0.6263736263736264,-0.1263736263736263,statcast
