scenario,balls,strikes,deficit,count,optimal_action,value
contact_optimistic,1,1,2,1-1,take,0.35225914314514367
contact_optimistic,1,1,3,1-1,take,0.26496207181993525
contact_optimistic,1,2,0,1-2,swing,0.4540162051741966
contact_optimistic,1,2,1,1-2,take,0.24955053519573
contact_optimistic,1,2,2,1-2,take,0.18224931802371128
contact_optimistic,1,2,3,1-2,swing,0.1561293562638506
contact_optimistic,2,0,0,2-0,take,0.9077860330219468
contact_optimistic,2,0,1,2-0,take,0.6924441845796028
contact_optimistic,2,0,2,2-0,take,0.5056990974203807
contact_optimistic,2,0,3,2-0,take,0.3702449071001982
contact_optimistic,2,1,0,2-1,take,0.770065155027678
contact_optimistic,2,1,1,2-1,take,0.5873929747203227
contact_optimistic,2,1,2,2-1,take,0.4289791202861289
contact_optimistic,2,1,3,2-1,take,0.31407478363529334
contact_optimistic,2,2,0,2-2,take,0.4747935602986719
contact_optimistic,2,2,1,2-2,take,0.3621646817039433
contact_optimistic,2,2,2,2-2,take,0.2644925854458617
contact_optimistic,2,2,3,2-2,take,0.19364684118120998
contact_optimistic,3,0,0,3-0,take,0.9699350447221969
contact_optimistic,3,0,1,3-0,take,0.7398504236753903
contact_optimistic,3,0,2,3-0,take,0.5403203605629417
contact_optimistic,3,0,3,3-0,take,0.39559268133373093
contact_optimistic,3,1,0,3-1,take,0.9033117481573574
contact_optimistic,3,1,1,3-1,take,0.6890312740237128
contact_optimistic,3,1,2,3-1,take,0.503206613805
contact_optimistic,3,1,3,3-1,take,0.3684200488555698
contact_optimistic,3,2,0,3-2,take,0.6890526542280146
contact_optimistic,3,2,1,3-2,take,0.5255979778638349
contact_optimistic,3,2,2,3-2,take,0.38384959962601456
contact_optimistic,3,2,3,3-2,take,0.28103344506998884
deadball_era,0,0,0,0-0,take,0.7461174470266605
deadball_era,0,0,1,0-0,take,0.5400236285771713
deadball_era,0,0,2,0-0,take,0.39085739189872204
deadball_era,0,0,3,0-0,take,0.28289410122849146
deadball_era,0,1,0,0-1,take,0.5660064487818119
deadball_era,0,1,1,0-1,take,0.3773974176081162
deadball_era,0,1,2,0-1,take,0.2731520669753114
deadball_era,0,1,3,0-1,take,0.19770154144350668
deadball_era,0,2,0,0-2,swing,0.3815346823969413
deadball_era,0,2,1,0-2,take,0.1681964539331267
deadball_era,0,2,2,0-2,take,0.12173694600786267
deadball_era,0,2,3,0-2,take,0.0881105613299606
deadball_era,1,0,0,1-0,take,0.827395759365979
deadball_era,1,0,1,1-0,take,0.6134116176426483
deadball_era,1,0,2,1-0,take,0.4439740269852122
deadball_era,1,0,3,1-0,take,0.3213387718431105
deadball_era,1,1,0,1-1,take,0.6492526358116147
deadball_era,1,1,1,1-1,take,0.47180309762201367
deadball_era,1,1,2,1-1,take,0.34148085098695463
deadball_era,1,1,3,1-1,take,0.24715643430091783
deadball_era,1,2,0,1-2,swing,0.3815346823969413
deadball_era,1,2,1,1-2,take,0.24409811485537417
deadball_era,1,2,2,1-2,take,0.1766729222549677
deadball_era,1,2,3,1-2,take,0.1278720297844317
deadball_era,2,0,0,2-0,take,0.9077860330219468
deadball_era,2,0,1,2-0,take,0.677314997404741
deadball_era,2,0,2,2-0,take,0.49022590751931716
deadball_era,2,0,3,2-0,take,0.3548148808268268
deadball_era,2,1,0,2-1,take,0.770065155027678
deadball_era,2,1,1,2-1,take,0.5745590475134105
deadball_era,2,1,2,2-1,take,0.41585337925614063
deadball_era,2,1,3,2-1,take,0.30098565783667874
deadball_era,2,2,0,2-2,take,0.4747935602986719
deadball_era,2,2,1,2-2,take,0.35425175907473283
deadball_era,2,2,2,2-2,take,0.25639974125655857
deadball_era,2,2,3,2-2,take,0.1855765725774619
deadball_era,3,0,0,3-0,take,0.9699350447221969
deadball_era,3,0,1,3-0,take,0.7236854593498014
deadball_era,3,0,2,3-0,take,0.5237878423337795
deadball_era,3,0,3,3-0,take,0.37910628177667843
deadball_era,3,1,0,3-1,take,0.9033117481573574
deadball_era,3,1,1,3-1,take,0.6739766554043476
deadball_era,3,1,2,3-1,take,0.4878096879754553
deadball_era,3,1,3,3-1,take,0.3530660738773768
deadball_era,3,2,0,3-2,take,0.6890526542280146
deadball_era,3,2,1,3-2,take,0.5141142072395459
deadball_era,3,2,2,3-2,take,0.3721047146165279
deadball_era,3,2,3,3-2,take,0.26932132327471975
steroid_era,0,0,0,0-0,take,0.7627834747298057
steroid_era,0,0,1,0-0,take,0.5580906195001251
steroid_era,0,0,2,0-0,take,0.4093755601983488
steroid_era,0,0,3,0-0,take,0.30815460125668437
steroid_era,0,1,0,0-1,take,0.6040742113037844
steroid_era,0,1,1,0-1,take,0.4051376286221775
steroid_era,0,1,2,0-1,take,0.29979092321040307
steroid_era,0,1,3,0-1,take,0.23790464430979408
steroid_era,0,2,0,0-2,swing,0.4540162051741966
steroid_era,0,2,1,0-2,swing,0.2340549173015537
steroid_era,0,2,2,0-2,swing,0.182090360377325
steroid_era,0,2,3,0-2,swing,0.16798717079671086
steroid_era,1,0,0,1-0,take,0.8344038710942043
steroid_era,1,0,1,1-0,take,0.6271133948277069
steroid_era,1,0,2,1-0,take,0.4588275894784697
steroid_era,1,0,3,1-0,take,0.33985615478805886
steroid_era,1,1,0,1-1,take,0.6717905729367137
steroid_era,1,1,1,1-1,take,0.4823417648609638
steroid_era,1,1,2,1-1,take,0.35290540929949904
steroid_era,1,1,3,1-1,take,0.26945615691756303
steroid_era,1,2,0,1-2,swing,0.4540162051741966
steroid_era,1,2,1,1-2,take,0.24955053519573
steroid_era,1,2,2,1-2,take,0.18258367858804017
steroid_era,1,2,3,1-2,swing,0.16798717079671086
steroid_era,2,0,0,2-0,take,0.9077860330219468
steroid_era,2,0,1,2-0,take,0.6924441845796028
steroid_era,2,0,2,2-0,take,0.5066268695373217
steroid_era,2,0,3,2-0,take,0.37162541533086174
steroid_era,2,1,0,2-1,take,0.770065155027678
steroid_era,2,1,1,2-1,take,0.5873929747203227
steroid_era,2,1,2,2-1,take,0.4297661394217772
steroid_era,2,1,3,2-1,take,0.3152458539590264
steroid_era,2,2,0,2-2,take,0.4747935602986719
steroid_era,2,2,1,2-2,take,0.3621646817039433
steroid_era,2,2,2,2-2,take,0.2649778322006304
steroid_era,2,2,3,2-2,take,0.19436887962726035
steroid_era,3,0,0,3-0,take,0.9699350447221969
steroid_era,3,0,1,3-0,take,0.7398504236753903
steroid_era,3,0,2,3-0,take,0.5413116499824779
steroid_era,3,0,3,3-0,take,0.3970677021652618
steroid_era,3,1,0,3-1,take,0.9033117481573574
steroid_era,3,1,1,3-1,take,0.6890312740237128
steroid_era,3,1,2,3-1,take,0.5041298131299069
steroid_era,3,1,3,3-1,take,0.3697937528503715
steroid_era,3,2,0,3-2,take,0.6890526542280146
steroid_era,3,2,1,3-2,take,0.5255979778638349
steroid_era,3,2,2,3-2,take,0.3845538226658524
steroid_era,3,2,3,3-2,take,0.2820813162899408
flyball_rev,0,0,0,0-0,take,0.7600058034459481
flyball_rev,0,0,1,0-0,take,0.5539993768224788
flyball_rev,0,0,2,0-0,take,0.4049006513025638
flyball_rev,0,0,3,0-0,take,0.3020960884265694
flyball_rev,0,1,0,0-1,take,0.5977295842167889
flyball_rev,0,1,1,0-1,take,0.3970407539506734
flyball_rev,0,1,2,0-1,take,0.2928533037933829
