year,weighted_gap,n
2015,-0.07036082202121736,108
2016,-0.057017989872660685,131
2017,-0.05440261266216656,201
2018,-0.06191165825149213,177
2019,-0.0606434598846663,204
2020,-0.0624866652710757,91
2021,-0.061310342893666867,189
2022,-0.05910050575267646,149
2023,-0.05761846721951214,207
2024,-0.050325467971693974,175
