year,weighted_avg_gap,total_pitches
2015,-0.024797386721224376,108
2016,-0.028400806048209153,131
2017,-0.02431845835847356,201
2018,-0.026022358703936505,177
2019,-0.033846412822174085,204
2020,-0.02431933166533786,91
2021,-0.03262312913469716,189
2022,-0.023390032053057445,149
2023,-0.022902292036574224,207
2024,-0.024150004867229836,175
