era,p_ball_on_take,p_strike_on_take,p_whiff_on_swing,p_foul_on_swing,p_contact_on_swing,total_pitches,pitch_seq_coverage,total_pas
post_war,0.7081845599195757,0.2918154400804243,0.2066730295076752,0.3499960232243697,0.44333094726795513,53993.0,0.15920576474684278,94783.0
expansion,0.7135899026214079,0.28641009737859213,0.18965211717988578,0.35829755700719285,0.45205032581292137,533683.0,0.9214863145288056,160316.0
offense_explosion,0.705053776348623,0.294946223651377,0.19651010786263468,0.37261243177270165,0.4308774603646637,714347.0,1.0,190261.0
statcast,0.6890526542280146,0.31094734577198535,0.22290901102985247,0.3988756215081836,0.3782153674619639,3707440.0,1.0,953082.0
